pk_name,NOM_CAMP,NOM_TABLA
PRIMARY,folio,cubo_conavi_bak
PRIMARY,anio,cubo_conavi_bak
PRIMARY,clave_estado,cubo_conavi_bak
PRIMARY,clave_municipio,cubo_conavi_bak
PRIMARY,folio,cubo_conavi_bak2
PRIMARY,anio,cubo_conavi_bak2
PRIMARY,clave_estado,cubo_conavi_bak2
PRIMARY,clave_municipio,cubo_conavi_bak2
PRIMARY,folio,cubo_conavi_bkp
PRIMARY,anio,cubo_conavi_bkp
PRIMARY,clave_estado,cubo_conavi_bkp
PRIMARY,clave_municipio,cubo_conavi_bkp
PRIMARY,id,cubo_financiamientos
PRIMARY,anio,cubo_financiamientos
PRIMARY,mes,cubo_financiamientos
PRIMARY,clave_organismo,cubo_financiamientos
PRIMARY,id,cubo_financiamientos_bkp
PRIMARY,anio,cubo_financiamientos_bkp
PRIMARY,mes,cubo_financiamientos_bkp
PRIMARY,clave_organismo,cubo_financiamientos_bkp
PRIMARY,id,cubo_financiamientos_rpt
PRIMARY,id,cubo_financiamientos_tmp
PRIMARY,anio,cubo_financiamientos_tmp
PRIMARY,mes,cubo_financiamientos_tmp
PRIMARY,clave_organismo,cubo_financiamientos_tmp
PRIMARY,id,cubo_fonhapo
PRIMARY,anio,cubo_fonhapo
PRIMARY,mes,cubo_fonhapo
PRIMARY,id,cubo_fonhapo_bak
PRIMARY,anio,cubo_fonhapo_bak
PRIMARY,id,cubo_fonhapo_beta
PRIMARY,anio,cubo_fonhapo_beta
PRIMARY,id,cubo_fonhapo_tmp
PRIMARY,anio,cubo_fonhapo_tmp
PRIMARY,mes,cubo_fonhapo_tmp
PRIMARY,folio,cubo_fovissste_bak
PRIMARY,anio,cubo_fovissste_bak
PRIMARY,id,cubo_imss
PRIMARY,anio,cubo_imss
PRIMARY,mes,cubo_imss
PRIMARY,id,cubo_imss_rpt
PRIMARY,anio,cubo_imss_rpt
PRIMARY,mes,cubo_imss_rpt
PRIMARY,id,cubo_infonavit
PRIMARY,anio,cubo_infonavit
PRIMARY,mes,cubo_infonavit
PRIMARY,id,cubo_infonavit_bak
PRIMARY,anio,cubo_infonavit_bak
PRIMARY,id,cubo_infonavit_beta
PRIMARY,anio,cubo_infonavit_beta
PRIMARY,id,cubo_infonavit_bkp
PRIMARY,anio,cubo_infonavit_bkp
PRIMARY,id,cubo_infonavit_spt
PRIMARY,anio,cubo_infonavit_spt
PRIMARY,id,cubo_infonavit_tmp
PRIMARY,anio,cubo_infonavit_tmp
PRIMARY,mes,cubo_infonavit_tmp
PRIMARY,id,cubo_issste
PRIMARY,anio,cubo_issste
PRIMARY,mes,cubo_issste
PRIMARY,id_sector,cubo_issste
PRIMARY,id_rango_antiguedad,cubo_issste
PRIMARY,id_rango_salarial,cubo_issste
PRIMARY,id_genero,cubo_issste
PRIMARY,id_nombramiento,cubo_issste
PRIMARY,trabajadores,cubo_issste
PRIMARY,id,cubo_issste_bkp
PRIMARY,anio,cubo_issste_bkp
PRIMARY,mes,cubo_issste_bkp
PRIMARY,id_sector,cubo_issste_bkp
PRIMARY,id_rango_antiguedad,cubo_issste_bkp
PRIMARY,id_rango_salarial,cubo_issste_bkp
PRIMARY,id_genero,cubo_issste_bkp
PRIMARY,id_nombramiento,cubo_issste_bkp
PRIMARY,trabajadores,cubo_issste_bkp
PRIMARY,id,cubo_semanal
PRIMARY,id,cubo_shf
PRIMARY,anio,cubo_shf
PRIMARY,mes,cubo_shf
PRIMARY,id,datos_abiertos
PRIMARY,id,demanda_potencial_5_10
PRIMARY,id,demanda_potencial_7_9
PRIMARY,id,demanda_potencial_infonavit
PRIMARY,id,demanda_potencial_m10
PRIMARY,folio,desarrollador_fovissste
PRIMARY,anio,desarrollador_fovissste
PRIMARY,id,financiamientos
PRIMARY,anio,financiamientos
PRIMARY,mes,financiamientos
PRIMARY,clave_organismo,financiamientos
PRIMARY,id,financiamientos_bkp
PRIMARY,anio,financiamientos_bkp
PRIMARY,mes,financiamientos_bkp
PRIMARY,clave_organismo,financiamientos_bkp
PRIMARY,folio,fovissste
PRIMARY,anio,fovissste
PRIMARY,PERIODO_REP,fovissste_00621_fte_his
PRIMARY,id,fovissste_00621_fte_his
PRIMARY,id,habitat
PRIMARY,id,imss
PRIMARY,anio,imss
PRIMARY,mes,imss
PRIMARY,id,infonavit
PRIMARY,anio,infonavit
PRIMARY,id,linea_credito_esquema_infonavit
PRIMARY,id,linea_subsidio_tipo_ee
PRIMARY,id,paquete_explosion_insumo
PRIMARY,id,pemex
PRIMARY,anio,pemex
PRIMARY,anio,poblacion
PRIMARY,clave_entidad_federativa,poblacion
PRIMARY,clave_municipio,poblacion
PRIMARY,anio,poblacion_bkp
PRIMARY,clave_entidad_federativa,poblacion_bkp
PRIMARY,clave_municipio,poblacion_bkp
PRIMARY,anio,poblacion_inegi
PRIMARY,clave_entidad_federativa,poblacion_inegi
PRIMARY,clave_municipio,poblacion_inegi
PRIMARY,id,programas_conavi
PRIMARY,id,programas_conavi_bkp
PRIMARY,id_proyecto,proyecto_mencion
PRIMARY,id_evaluador,proyecto_mencion
PRIMARY,id,proyecto_prnv
PRIMARY,consecutivo,quintil_fovissste
PRIMARY,anio,quintil_fovissste
PRIMARY,consecutivo,quintil_infonavit
PRIMARY,anio,quintil_infonavit
PRIMARY,id,reconstruccion
PRIMARY,id,registro_evaluador_pnv
PRIMARY,id,renaret
PRIMARY,id,reporte_mensual
PRIMARY,id,reporte_presidencia
PRIMARY,id,reporte_presidencia_bkp
PRIMARY,id,reporte_presidencia_bkp_1
PRIMARY,id,reporte_vivienda_sustentable
PRIMARY,anio,reporte_vivienda_sustentable
PRIMARY,id,revista_trimestral
PRIMARY,id,subprograma_fovissste
PRIMARY,id,tesis_prnv
PRIMARY,id,usuario
PRIMARY,id,usuario_evaluador
PRIMARY,anio,vivienda_sustentable
PRIMARY,id,ws_pnr
PRIMARY,id,ws_pnr_bkpre
